file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
kaydasheva_s001855,0.0,7.9708125,corpus,-43.344352846612296,-48.44552789415632,7.965603990043915,13.707397993484275
kaydasheva_s002199,0.0,9.91075,corpus,-42.432021001513625,-44.736903508504234,7.950924556643065,17.51232078347023
kaydasheva_s000804,0.0,7.4848125,corpus,-49.83593227774064,-53.96474729884755,7.910912159195412,5.437096492020997
kaydasheva_s001969,0.0,17.4598125,corpus,-48.26257785652921,-51.174798829214915,7.838015235328419,5.575076242635891
kaydasheva_s000681,0.0,7.2098125,corpus,-46.650604628987516,-52.21487324578421,7.784861675633416,22.394815502305352
kaydasheva_s000770,0.0,7.1288125,corpus,-42.03749287780505,-45.539460164196086,7.78485605953605,20.83456077844822
kaydasheva_s000028,0.0,6.8288125,corpus,-44.38050192166911,-50.46851659857708,7.731779653740779,15.201243307478089
kaydasheva_s000919,0.0,13.81475,corpus,-45.87063835083273,-47.62028447664701,7.717533172767076,17.024493211612956
kaydasheva_s000895,0.0,12.0098125,corpus,-44.7683115632806,-48.71402443539012,7.692438032921499,17.587442593365452
kaydasheva_s001409,0.0,13.07375,corpus,-46.215773240244836,-49.03692263144034,7.692438032921499,13.582065805295045
kaydasheva_s002118,0.0,9.91075,corpus,-42.702171102421794,-46.98898080382684,7.638567747963007,16.578843198269347
kaydasheva_s000647,0.0,11.5778125,corpus,-50.11974444084629,-51.475992577416555,7.627753433941866,6.325716184907046
kaydasheva_s001390,0.0,11.9898125,corpus,-45.13677413469558,-50.04047552744547,7.6005215856469315,7.178517976039144
kaydasheva_s001362,0.0,12.9258125,corpus,-43.27973644141532,-44.159217834472656,7.573958043948396,16.934301610874286
kaydasheva_s000471,0.0,12.8498125,corpus,-48.83274562256809,-50.92763157280124,7.479212065138428,12.00390994795612
kaydasheva_s001722,0.0,9.3778125,corpus,-44.30000666311301,-47.508735825033746,7.4421047762113774,21.760959447117244
kaydasheva_s000400,0.0,17.6428125,corpus,-45.89978830073696,-46.41609710302108,7.3582422925371755,18.806038049657417
kaydasheva_s001037,0.0,12.5598125,corpus,-45.603699119227706,-47.62924976954385,7.306253360379255,17.795699984833238
kaydasheva_s001959,0.0,4.9098125,corpus,-43.22611300280041,-50.9494166654699,7.294994903555472,14.348483671384848
kaydasheva_s002111,0.0,7.8398125,corpus,-45.639185068558675,-50.713608311068626,7.239982652872941,5.593109098943158
kaydasheva_s002147,0.0,15.4498125,corpus,-47.826132686084144,-50.59274739968149,7.22991709184913,18.037068369854683
kaydasheva_s000309,0.0,9.6078125,corpus,-44.43446361212279,-46.896708488464355,7.211376861591787,20.517464555573913
kaydasheva_s000958,0.0,17.71775,corpus,-47.52010881066592,-46.774038177352764,7.211366676314824,14.70575008182143
kaydasheva_s000073,0.0,15.1698125,corpus,-48.50029869808833,-52.11819427625268,7.201480960640212,19.687510412650205
kaydasheva_s000850,0.0,8.3998125,corpus,-42.17027994791667,-46.15186932507683,7.198126400488473,22.585220566593495
kaydasheva_s001057,0.0,12.3498125,corpus,-45.96629238360324,-48.47347024770883,7.198121106041249,16.450082240596025
kaydasheva_s000665,0.0,15.2928125,corpus,-51.51256438031393,-54.814481147249836,7.191792408582429,18.221549005623334
